GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
euromillions-play,sets,SetOfNaturals,29,149,4,18,7,30,5,16,1,9
euromillions-play,ui,DemoMain,57,0,2,0,15,0,3,0,2,0
euromillions-play,euromillions,Dip,28,279,7,29,8,51,8,19,1,8
euromillions-play,euromillions,EuromillionsDraw,8,79,0,10,2,14,2,7,2,2
euromillions-play,euromillions,CuponEuromillions,42,28,2,0,7,7,2,5,1,5
