GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab3_2,com.tqs.lab3_2.Model,Car,57,38,9,1,9,17,7,9,2,9
lab3_2,com.tqs.lab3_2.Model,CarDTO,0,15,0,0,0,6,0,3,0,3
lab3_2,com.tqs.lab3_2.Controller,CarController,18,32,2,0,4,8,2,3,1,3
lab3_2,com.tqs.lab3_2,Lab32Application,5,3,0,0,2,1,1,1,1,1
lab3_2,com.tqs.lab3_2.Service,CarManagerService,0,52,0,4,0,14,0,10,0,8
